東京タワー完成,-33
成田空港開港,-53
ファミコン発売,-58
スーパーマリオブラザーズ発売,-60
青函トンネル開通,-63
がんばれゴエモン2発売,-64
魔女の宅急便,1
ベルリンの壁崩壊,1
バブル崩壊,2
スーパーファミコンヒット,2
ソ連崩壊,3
「のぞみ」運転開始,4
ポケベル流行,5
たまごっちブーム,8
ポケモン放送開始,9
ドリームキャスト発売,10
カードキャプターさくら,10
Windows 98,10
ポケモン金・銀,11
だんご3兄弟,11
嵐デビュー,11
ポケモンルビー・サファイア,14
ふたりはプリキュア,16
ハウルの動く城,16
ニンテンドーDS販売,16
お札が野口英世などに,16
イナバウアー,18
Twitterサービス開始,18
らき☆すた,19
地デジ完全移行,23
スカイツリー開業,24
ガルパンブーム,27
羽生結弦選手金メダル,30
